"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",86.3044972064766,-0.0117046533304679,0.0755413292788328,0.519205571292583,0.900325399716245
"ENSG00000000005",1.96599460504938,-0.00288583522004253,0.0764669177095977,0.602434329643376,NA
"ENSG00000000419",118.136337423531,0.00978359987663732,0.0744768819411695,0.633797498769172,0.930977396344851
"ENSG00000000457",145.111079408236,0.0219860721141216,0.0767993164290352,0.352853681783757,0.857473359115154
"ENSG00000000460",64.5669898896801,-0.0239997940878889,0.0794223231704085,0.213478882835676,0.809408245331217
"ENSG00000000938",147.615359335538,-0.0108677280816757,0.0761796032994993,0.466052355755378,0.887741417489523
"ENSG00000000971",321.390068629369,-0.00246081601700229,0.0756968016788447,0.832750228061846,0.974080281163757
"ENSG00000001036",129.017761442461,-0.0051248383482285,0.0750595426557178,0.748613584480491,0.960386105008503
"ENSG00000001084",606.753631328952,-0.0170071700082852,0.0771524379412645,0.336972886273608,0.849501846691119
"ENSG00000001167",491.037333060865,-0.0317299278578546,0.0822767414318785,0.163761638274364,0.782114003149714
"ENSG00000001460",228.018051167265,-0.0189933313022483,0.0761838029059605,0.39781782297483,0.867418495687928
"ENSG00000001461",2001.21914413681,-0.0152547129826454,0.0771607408283475,0.320387628902241,0.848127808761128
"ENSG00000001497",767.541342069637,0.00175947372492037,0.0732857488965767,0.936710622838148,0.991543054951936
"ENSG00000001561",518.494522380737,-0.00711655237692,0.0756574916333288,0.618154970398973,0.925538863703285
"ENSG00000001617",216.104181891822,0.00673779139317027,0.0745175186490677,0.710522690518396,0.952559684603946
"ENSG00000001626",57.8096465658212,-0.00356830141763484,0.0761195831011791,0.702983949420966,0.95100964273194
"ENSG00000001629",1915.81858043482,-0.0226742487265922,0.0776509185178115,0.283496465181157,0.838073616218731
"ENSG00000001630",111.227402937781,0.0100968555421661,0.0761693525477655,0.481919419426076,0.890469046820684
"ENSG00000001631",108.746728624144,-0.0264383073675283,0.0756306770205959,0.367236013948526,0.860703208897314
"ENSG00000002016",351.439874909272,-0.11033734666683,0.237741265793139,0.00986380980329634,0.524131438865748
"ENSG00000002079",28.1217627940806,0.00425625766292724,0.0756139105941745,0.745727047733784,0.960308989341856
"ENSG00000002330",299.921769674829,0.0291136275668504,0.0798730417540674,0.238107727656919,0.820211307810403
"ENSG00000002549",468.268300164594,0.00979191290844264,0.0761752119407732,0.486325338493952,0.891805447966453
"ENSG00000002586",664.793200018714,-0.00657507018052846,0.0745001106010636,0.726872704600376,0.957598146039241
"ENSG00000002587",150.525018189053,-0.013866260711074,0.0777389178064252,0.183313844153681,0.794656111643095
"ENSG00000002726",3.21257042565525,-0.0111924573708512,0.0774507185504505,0.133112565815789,NA
"ENSG00000002745",14.683598459206,0.0141098305411707,0.0776593257110483,0.215382377947117,0.810359031849766
"ENSG00000002746",1960.43413721255,0.0274576230805646,0.0821608498852253,0.0887265649310494,0.743665408017539
"ENSG00000002822",46.7723595569943,-0.0246670078583089,0.0810928695963266,0.0907159003778369,0.744907920560555
"ENSG00000002834",1580.19236358314,0.0388059948621884,0.0821172751105908,0.224987017269997,0.81266409792282
"ENSG00000002919",249.062304712099,0.0137492119802915,0.0700870790302339,0.656829887378785,0.938359237456354
"ENSG00000002933",169.680479196747,0.00265843701373876,0.0754588562019359,0.844081615733191,0.976634673573607
"ENSG00000003056",382.980609838518,0.0241255584380955,0.0783931935755164,0.277378489668417,0.833281873195444
"ENSG00000003096",76.6214175398617,-0.0272316907412411,0.0807318217542794,0.176559048899955,0.787884972696119
"ENSG00000003137",534.788407570622,0.0272538642360347,0.0819582847880159,0.100110789072028,0.748346895318352
"ENSG00000003147",440.972235522971,0.444629622284635,0.331906504444814,0.00400212853613854,0.400532415207994
"ENSG00000003249",821.491373103842,0.0240426855270533,0.079615758392245,0.198285500469757,0.802665487192599
"ENSG00000003393",1190.51340504704,-0.00860241057334122,0.0743786212378845,0.663899104342703,0.939434921569475
"ENSG00000003400",98.2401103309944,0.00646030621643564,0.0747468931598638,0.720067017350366,0.955575474623323
"ENSG00000003402",1298.87874839377,-0.0464435287761236,0.0932587988503598,0.0591437658041665,0.707234969074965
"ENSG00000003436",54.936567315203,-0.0161368331580165,0.0773842004333599,0.303249595692691,0.842720358787997
"ENSG00000003509",187.481319876203,0.00850826184170073,0.0731300430024425,0.718302862010024,0.954871193483123
"ENSG00000003756",1309.7096622911,-0.0193272873271425,0.075483117498298,0.426294839873902,0.877911469355377
"ENSG00000003987",422.578086360076,0.00506429722565616,0.0749889393542272,0.758457113043529,0.961972006132723
"ENSG00000003989",952.229155729558,-0.0132792465371698,0.0764745457503245,0.41282756148661,0.871278391209204
"ENSG00000004059",550.095744114278,0.0500568785701798,0.0991426591664585,0.0208451254085153,0.625095437488146
"ENSG00000004139",402.519454907291,0.00658142155893306,0.0717628746849363,0.801053123457033,0.970300484137329
"ENSG00000004142",735.262511025491,0.133770853682171,0.203297720082452,0.0223293949918656,0.630025429437739
"ENSG00000004399",2050.84016076067,-0.0134780759694361,0.0754651792888705,0.464810102083998,0.887549444465945
"ENSG00000004455",580.230855065613,-0.00757708811797117,0.0722039044908722,0.738427116436388,0.959235185421549
"ENSG00000004468",106.414991233783,0.0133478910793187,0.0777473234291196,0.159467536048247,0.778679023142922
"ENSG00000004478",1516.45011188711,0.0114281413328795,0.0766054595416038,0.399089958291071,0.867418495687928
"ENSG00000004487",920.701861645325,0.0259005308500977,0.0758125109678162,0.366687894402972,0.860603995600889
"ENSG00000004534",1438.37877023643,-0.0685598033172922,0.112510895518783,0.0587070125698318,0.705574418637233
"ENSG00000004660",2259.93072646268,0.0288010221633226,0.0828406507531378,0.082682300878544,0.73652260387727
"ENSG00000004700",133.820044280406,-0.00430889568540844,0.0736710718989226,0.833650747336918,0.974080281163757
"ENSG00000004766",511.993016476295,0.0112967576232065,0.0751894579194446,0.558084510942531,0.908168889716826
"ENSG00000004776",146.285666991404,-0.00407853590773927,0.0753516113118933,0.77313647138197,0.965678939098069
"ENSG00000004777",1237.84181291975,0.0232046602523452,0.077414465011109,0.33020173247659,0.848442083108267
"ENSG00000004779",288.059925430469,0.0212577148653469,0.0783820504925803,0.261313148403918,0.827594982319932
"ENSG00000004799",1089.28806443721,-0.01793769267052,0.0783509133451546,0.203107280052862,0.805665452088959
"ENSG00000004809",2.87334316695551,-0.00687051028202766,0.0767821860863299,0.283499570224168,NA
"ENSG00000004838",24.8795233556409,-0.00959711984787164,0.076208935976135,0.479870181222195,0.890361133508346
"ENSG00000004846",2.73547772905318,0.000942449600399133,0.0762519063981093,0.899209240878707,NA
"ENSG00000004848",229.2588593749,0.0329553288684209,0.0849964521103524,0.0659156704059445,0.716449098099681
"ENSG00000004864",161.282128846322,-0.017999141881055,0.0787011919414787,0.149326131202242,0.775593868100841
"ENSG00000004866",322.056713834789,0.00235546406161455,0.0718994736597443,0.92617593125784,0.989777755683766
"ENSG00000004897",696.98918820766,0.00556114328991546,0.0747636932931569,0.737756037527006,0.959235185421549
"ENSG00000004939",12.4564908176538,0.00524892994569216,0.0761373897759728,0.614078720891418,0.92397907806454
"ENSG00000004948",1.95579184727738,0.00340375078237353,0.0765401882603224,0.496585167849283,NA
"ENSG00000004961",124.825767945385,0.0316771972396936,0.0838062480963333,0.097729839981932,0.746425597964166
"ENSG00000004975",431.943039091558,-0.0413410277376338,0.0857319607669332,0.150996572811235,0.775593868100841
"ENSG00000005007",2082.68721004617,-0.0125814522525639,0.0731251074309549,0.648081812658619,0.935110430419149
"ENSG00000005020",341.728528532125,-0.000776700482857232,0.0747205186333541,0.962256382122428,0.994118511173559
"ENSG00000005022",679.550965456135,0.0558487881180239,0.100693821987245,0.0569556564781128,0.70134240987789
